,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_log,ApplicantIncome_log,CoapplicantIncome_log,TotalIncome,TotalIncome_log
0,LP001002,1,0,0,0,0,5849,0.0,128.0,360.0,1.0,2,1,4.852030263919617,8.674025985443025,0.0,5849.0,8.674025985443025
1,LP001003,1,1,1,0,0,4583,1508.0,128.0,360.0,1.0,0,0,4.852030263919617,8.430109084509125,7.319202458767849,6091.0,8.714567550836485
2,LP001005,1,1,0,0,1,3000,0.0,66.0,360.0,1.0,2,1,4.189654742026425,8.006367567650246,0.0,3000.0,8.006367567650246
3,LP001006,1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,2,1,4.787491742782046,7.8567067930958405,7.765993079407675,4941.0,8.50532301884575
4,LP001008,1,0,0,0,0,6000,0.0,141.0,360.0,1.0,2,1,4.948759890378168,8.699514748210191,0.0,6000.0,8.699514748210191
5,LP001011,1,1,2,0,1,5417,4196.0,267.0,360.0,1.0,2,1,5.58724865840025,8.597297435657898,8.34212526333359,9613.0,9.170871628065816
6,LP001013,1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,2,1,4.553876891600541,7.75491027202143,7.324489979348532,3849.0,8.255568653283746
7,LP001014,1,1,3,0,0,3036,2504.0,158.0,360.0,0.0,1,0,5.062595033026967,8.01829613851552,7.826044013518965,5540.0,8.61974977974133
8,LP001018,1,1,2,0,0,4006,1526.0,168.0,360.0,1.0,2,1,5.123963979403259,8.295548516225763,7.3310603052186325,5532.0,8.61830469278465
9,LP001020,1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,1,0,5.855071922202427,9.460398455831275,9.302828391411333,23809.0,10.077818939438902
10,LP001024,1,1,2,0,0,3200,700.0,70.0,360.0,1.0,2,1,4.248495242049359,8.070906088787819,6.55250788703459,3900.0,8.268731832117737
11,LP001027,1,1,2,0,0,2500,1840.0,109.0,360.0,1.0,2,1,4.6913478822291435,7.824046010856292,7.518064181233078,4340.0,8.375629627094451
12,LP001028,1,1,2,0,0,3073,8106.0,200.0,360.0,1.0,2,1,5.298317366548036,8.030409562130485,9.000483164987708,11179.0,9.321792297270326
13,LP001029,1,0,0,0,0,1853,2840.0,114.0,360.0,1.0,0,0,4.736198448394496,7.52456122628536,7.951911381854188,4693.0,8.453827315794417
14,LP001030,1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,1,2.833213344056216,7.1693500166706,6.99117688712121,2385.0,7.776954403322442
15,LP001032,1,0,0,0,0,4950,0.0,125.0,360.0,1.0,2,1,4.8283137373023015,8.507142855562735,0.0,4950.0,8.507142855562735
